user,video,vide_name,user_coments
@ng53816,7577894462110567700,NULL,NULL
@bensuarezfr,7200010953876966698,NULL,NULL
@_igwaynepotx,7602581066980855060,NULL,NULL
@ruizvane3,7292037026231241990,"Conste, luego no me tengan envidia cuando me vean con mis cobijas 🙂😂 #viral #parati #sigueme",NULL
@4lecuador,7583010561852476680,NULL,NULL
@medrano__775,7616115523327216916,4 L- TRAIGO EN LA 🇲🇽🐓,NULL
@4.l_mejor.grupo,7606160293466475794,#paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #pov #tiktokponmeenparati,NULL
@kylxnft,7308457904879701253,#fyp #viral It be like this fr😁,NULL
@dwejitokkibr,7617082415944568071,NULL,NULL
@4to_l_pre_promo,7616528580595469584,NULL,NULL
@rolitas_oldschool,7272174683083296005,NULL,NULL
@itz_emilio021,7630164197145431327,NULL,NULL
@gt_luxe6,7609370690495548674,Dis moi si t'a connu cette caisse en commentaire. Abonne toi pour plus de contenu 🚘 #renault #voiturefrançaise #autovintage #voitureancienne #francetiktok,NULL
@fman,7612939636163218708,bio #fontmethod #fontmethodusername #fonteduser #4letterusername #rareusername,NULL
@torrez.armando8,7594589156236397831,NULL,NULL
@monroy444_,7329176854089190662,Señor 4L🔥🔝 #fypシ #parati #viral #VoiceEffects #music #voiceeffects #viralmiusic,NULL
@sophiaofic69,7575969110689877256,NULL,NULL
@jose_cervantes91,7621750219528572167,:4L,NULL
@thekpophag,7502114534249762090,NULL,NULL
@usuariadesconocida221088,7610101843808603400,#fyp,NULL
@4to.lunatikoos.lpn,7530298657795607864,NULL,NULL
@mewimeowo,7520738749576154373,NULL,NULL
@weallingodshands,7553832304829828382,4L - FattMack / @FattMack Edit / @seo5️⃣🩸🩸 @nick𖣂 #targetaudience #fyp #edit #fattmack,NULL
@chevroletjoseandre,7603002883516206354,"Respuesta a @anibalcuji En resumen, la 4L es para máxima potencia a baja velocidad en situaciones off-road complicadas, proporcionando un control total y evitando que el vehículo se apague o patine descontroladamente. 🔥🛻🏕️",NULL
@victoriataracena,7508428175190330631,4L❤️‍🩹 #gracias,NULL
@mardizion_4l,7554490598359698699,NULL,NULL
@larpingcrypto,7611429316089351446,these 4Ls be clean asl #fyp #roblox #larp #limiteds #larpingcrypto,NULL
@cuetrosletras,7571640060060241173,NULL,NULL
@phora,7115595436647255339,4L 💌,NULL
@cantgobacc,7495962021830167851,#fattmack #fypシ #relatable #fypシ #undergroundrap,NULL
@niahhyuhh,7564193013006716215,4L #fattmack #xyzbca #fypシ #virall,NULL
@realhiphop775,7616617888736136469,NULL,NULL
@letradecanciones0_0,7409013510170070305,VVS4L 👹 - YOVNGCHIMI Cdobleta #cdobleta #freecdobleta👹 #yovngchimi #santurcepr🇵🇷 #puertorico🇵🇷 #losdiablosdelloren #eldiabloblanco🔥👹 #glyzzygang,NULL
@sou03230,7528430590329179399,4L,NULL
@panter_belik777,7610660773974560008,4L,NULL
@hiphoprappp2,7351389499299089671,NULL,NULL
@fullpurpmelly,7586060479030693128,4'L ON TOP!,NULL
@tsar_schizorusski,7559461482627403038,"4L GANG -21 Savage ft. Travis Scott, Kodak Black {SLOWED + REVERB}",NULL
@warablessmx,7531571619093925128,Cuando usar 4H y 4L en tu vehículo 4x4 👀,NULL
@ctog_4l,7598072941472910599,NULL,NULL
@chester36080,7585288146615667986,#JEGO💯💊🍀 #4L💯🚛🎱,NULL
@4l2025,7630503704306683143,NULL,NULL
@92legend,7553730122881240351,We Locked In 4L 🤞🏾,NULL
@camifrache,6995657089259539717,#renault #renault4l #renault4lclub #4largentina #vintage #vintagecar #autoclassic #clasico #4latas #argentina🇦🇷,NULL
@4.l_mejor.grupo,7608677986572799250,#paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #tiktokponmeenparati #pov,NULL
@cazador0247,7533282684521450760,🤣🏃🏽‍♂️‍➡️🏃🏽‍♂️‍➡️,"las mayisitas sirven pero para subir videos domas jajajaja|se dan cuenta que no pueden entrar a Tamaulipas y es un estado no tan grande y no pueden siempre q quieren entrar los saca el CDG o CDN|Ese cartel va a desaparecer o lo desaparecen con todos trae problemas le pasara lo mismo q a los zetas😂|puras 4 🫡💀|o no las niñitas 😂 solo pueden con drones 😆|todos tienen debilidades pero corren más los militares cuando se los topan|Puras 4 papá ya sabes arriba don m|puro sñr de los gallos y arriba jalisco|puro C.D.S LA MERA VERGA|todabia existen los mayos😂😂 y su líder declarandose culpable para que no lo maten cobarde|no ps por mi vida asta yo jajajaja|Con drones, porque en el zacate no topan, las cabreras tampoco topan y a eso súmale que los flechas y las rugrats son puros corridos, ni los del changuito antrax hacen nada 🤣|no que no corren las jaliscas 😂|todos corren i disen en sus canciones Q son la veyi no tiene miedo a morir luego después cuando la ven SERCA lloran|aki en sinaloa apoyamos al señor de los gallos puro 4 letras asi nomas|estamo corriendo , pero para corretiar a las gallinas que empezaron a bolar|jajaj con drones las pricensas😂😂😂 y además nos pidieron tregua los sicarios y el señor mencho 😂😂😂|Solo los que andan en 3so saben que rollo los demás solo hablan por hablar cuando no conocen pistolas ni de juguete|yo viendo que esta grabando de la televisión|e nomás con drones pueden por qué frente a frente corren 😂|con drones puedes mijo aki puras 4|órale wey, tu también correrías wey, no te hagas el valiente 😂😂😂😂|Cómo se llama la película 🎥??|de valientes está lleno el panteón estos son valientes no pensativos 😅😅😅|Asi corren las Jaliscas en Zacatecas cuando les cae la Mayiza 😂👍🏻🤠〽️F🐎🏹|Y el que va mero atrás valiéndole vrg la vida jajaja|No ps con los drones pero de frente cambia la cosa|jajaja siempre corren no saben otra|todos los comentarios dan pena jajajajaj 🤣|como que solo le tiran a las 4 solo la de ellos les cabe 😁|pura 4 LETRAS|de valientes está lleno el panteón compa|pobres niñas se defienden con drones 😆|es lo primero q hacen los ********|si es sierto nomas pueden con los drones jajaja 😂|Jajajaja ps si no es fre fire para volver a revivir 😅😅😅|hasta ustedes corren|Puro Mayito Flaco|van arompe paque no los despedasen|no son gacelas xq si lo parecen|jajaja 🤣 pobrecitas 🤣🤣|jajajaja 🤣|jaaja|jaja|Todo cartel corre ante la marina y soldados no digan q no|Jajajajajaj solo dan risa 🤣|no sé vuirlen eyos corren por si vida por ke cuidan al jefe|Trabajo|puro marro CSRL ⚒️🔺|No puede que si no mañana ayer hoy antier|Jajajaja mijo ps si no es fre fire para volver q revivir🤣|el vato de enfrente caminando jajaja|Puro MF 🤠🤠|Ucrania que voleta|todos corren ash|Chrrs mijo, ustedes q hacen, grabar videos, ya t quiero ver ahi|Arriba la familia Michoacána|es la primera vez que corren dicen jaja 🤪🤣🤣|las mayizas son tiktokeras😂🤣|Esos son guachos|llegales de frente|puras fem así nomas|puro CDN la 4 letras corren|No pues las 4 letras no corren las personas si 🙄|Está grabando un video XD|todos se cartel kesea corren|solo con Drones😁😁|🤣🤣🤣🤣🤣🤣 patito|esos no son jaliscos|corre en el maníaco no 😻😻|no son las 4 pa|Son bien culones las 4 💀💀|ariva las 4 😝|Que Vergüenza La Ntta|😂😂 corre corre|puras 4|corren con los militares|la unica forma que avanzem, los drones claro 😁😆|jajajaja 😈😈|Así quien no ,pero de frente no le topan alas 4 ,saben que rifa y seguirá rifando el SEÑOR DE LOS GALLOS 🐓|Aki puro 🆖|ARRIBA LAS 4 LETRAS|son los de la diestra, pero los que ya están adiestrados no corren 😂💀||@Karla L yo haciendole sum pa ver si no andan nuestros novios corriendo agarrados de la mano con otras|😁|😂|😂😂😂|😂|❤|🥰|🥰|😂😂|😂😂😂|❤️|😅😅😅|😂😂😂|😂|😂😂|😁|🥰🥰🥰|😂😂😂|😂😂😂|😁|🥰|😂|🤣🤣🤣|😂😂😂|🤣|😏😏😏😏😏|😂😂|😂😂|😂|🤣🤣🤣|🤣🤣🤣|😃😃😃|👍👍|😂😂😂|🤣🤣😂|🤣|😂😂😂|alguno no todos somos iguales uno si es hombre 🫵🏽|todos rorren wey nadie está tontos para quedarse quieto en un topo, asta los de ( FM,CDN,CJNG) todos|es maratón o que pedo ? 😂|no sabes en el pedo que estas|esque como el CJNG es el cartel más grande y poderoso 🤫🤫🤫|pura 4 letras manda aca en comalapa puros caibiles|La mayisa va ganando subiendo videos 🤣🤣🤣|pura gente del MZ|De los wichos nomas puros videos de drones|Las marinas se reportan jaja|pa eso si son buenas las 4letrillas 😂|todos los carteles corren Pero el 4 letras esta en el top número ""1"", en correr Mas veloz 🏃‍♂️"
@bagnolard2,7594433345874971926,NULL,NULL
@vdkl_trophy,7313972476122352928,NULL,NULL
@asxhswapped,7357878412574231851,NULL,NULL
@athyka4,7605294195699502343,Buat yg penasaran aja ..,NULL
@nxzml_,7632160543725374741,#4L,NULL
@yurifagundesvpop,7341167161605393669,Nesse tik tok falo sobre o Grupo 4L (4 Ladies) que só lançou o single Move e sumiu o que aconteceu pra disband tão rápido,NULL
@random.editt6,7611196537946852629,jadi 4L(lu lagi lu lagi) lucuuu bngt sihh mill @DA7 MILA,NULL
@papaya.mogreat,7101297645041356058,NULL,NULL
@mini_bus_wala0777,7598195624827309330,NULL,NULL
@unreleased.soundz,7444441375757700383,NULL,NULL
@fredo3878,7548854405001530646,Renault 4l rallye 😁🔥 #4lrally #Renault4l #vhrs #route fermée #competition vhrs,NULL
@preprom_4l,7556118608489811207,yzy🧚‍♀️ #fyp #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiii #paratiiiiiiiiiiiiiiiiiiiiiiiiiii,NULL
@athyka4,7605300699517259026,Masyaallahtabarakkallah 😇,NULL
@bolide2luxe,7495048795852426518,la Renault 4L ! Un véritable classique de l’automobile française.,NULL
@el_4l_,7517024445232336183,NULL,NULL
@temosoedits,6950010816393432326,VIBE RILEX MUSICA 4L SLOWED,NULL
@plenger_ror10,7613409909081787668,#CapCut,NULL
@cuoknst,7431494181664607493,4L aku #CapCut,NULL
@abdenour_official19,7565954507734060308,#سيارة4Lمعدلةبأيادي مغربية #Renault4L #fyp #CapCut #تصميم_فيديوهات🎶🎤🎬,NULL
@4lrocaraid,7605246578911087886,Toi aussi la 2 arrête pas de sauter sur ta 4L ?,NULL
@chinacarexporter0,7483378749992422687,"Made in China, Audi A4L #Audi #A4L # #Chinesecar #electriccar #Egypt 5",NULL
@2l8rb_,7540606126354746632,NULL,NULL
@luisfranciscoalfano,7384580962429979910,NULL,NULL
@charlot_en_4l,7502182920463977750,NULL,NULL
@ekun__2412,7355682431212473616,NULL,NULL
@shegetmad,7614348123212631309,#zyxcbaシ #viralvoralvideo #fyppppppppppppppppppppppp #uffffffffffffffffffffff #viralvoralvideo,NULL
