Mensaje	Riesgo
El contenido presenta comentario que celebra una discusión que se vuelve física en un video de reacción, lo cual puede ser inadecuado para menores.	3
El contenido presenta mensaje que trata los golpes como entretenimiento en una publicación de fans, lo cual puede ser inadecuado para menores.	3
Comentario no recomendado para menores: comentario que amenaza con hacer daño a otra persona sin dar instrucciones, con tono de amenaza o intimidación.	4
El mensaje usa texto que presume participar en actos agresivos como forma de presión o miedo; no es adecuado para niños.	4
Contenido de riesgo alto: texto que justifica golpear a alguien por una discusión en un foro de adolescentes, con glorificación de daño.	4
Mensaje problemático por comentario que minimiza una pelea real entre adolescentes; describe violencia a alto nivel, sin detalles gráficos.	3
Comentario de riesgo 5 porque incluye comentario que celebra daño severo hacia otra persona sin describirlo gráficamente en una historia corta, con una situación tensa.	5
Comentario de riesgo medio: comentario que minimiza una pelea real entre adolescentes, con normalización de una conducta agresiva.	3
Comentario de riesgo medio: mensaje que presenta la agresión como forma de ganar respeto, con normalización de una conducta agresiva.	3
Texto no apto para niños ni adolescentes: texto que amenaza con consecuencias violentas graves, con normalización de violencia extrema.	5
Mensaje muy riesgoso: mensaje que presenta la crueldad como algo aceptable; evita detalles gráficos, pero glorifica daño grave.	5
Mensaje muy riesgoso: mensaje que presenta la crueldad como algo aceptable; evita detalles gráficos, pero glorifica daño grave.	5
Comentario de riesgo 5 porque incluye comentario que elogia a figuras criminales violentas en un relato ficticio, con una idea negativa para menores.	5
Mensaje muy riesgoso: texto que celebra una agresión extrema sin detalles explícitos; evita detalles gráficos, pero glorifica daño grave.	5
El texto menciona escena donde varios personajes se enfrentan físicamente en un video de barrio; no es apto para niños sin supervisión.	3
Contenido de riesgo máximo: comentario que elogia a figuras criminales violentas en una transmisión en vivo, claramente no apto para menores.	5
Contenido de riesgo máximo: comentario que normaliza hacer daño grave para ganar respeto en un video de barrio, claramente no apto para menores.	5
Mensaje de alto riesgo: texto que justifica golpear a alguien por una discusión en una animación oscura, sin detalles explícitos.	4
Texto con riesgo bajo-medio: discusión fuerte donde nadie resulta herido, presentado sin daño explícito.	2
El contenido menciona entrenamiento de artes marciales con protección; requiere contexto, aunque no da instrucciones ni detalles gráficos.	2
Texto no apto para niños ni adolescentes: comentario que celebra daño severo hacia otra persona sin describirlo gráficamente, con normalización de violencia extrema.	5
Comentario sobre escena de choque leve presentada como comedia; puede no ser ideal para niños pequeños, pero no es extremo.	2
Texto no apto para niños ni adolescentes: texto que amenaza con consecuencias violentas graves, con normalización de violencia extrema.	5
Comentario de riesgo 5 porque incluye comentario que celebra daño severo hacia otra persona sin describirlo gráficamente en un video viral, con enfoque poco saludable.	5
El texto menciona mensaje que describe una persecución agresiva sin detalles explícitos en un montaje dramático; no es apto para niños sin supervisión.	3
El mensaje es seguro: trata de opinión positiva sobre una manualidad familiar y mantiene un tono respetuoso.	0
El mensaje usa comentario que invita a responder a los problemas con violencia como forma de presión o miedo; no es adecuado para niños.	4
El contenido presenta mensaje que describe una persecución agresiva sin detalles explícitos en un montaje dramático, lo cual puede ser inadecuado para menores.	3
Chrrs mijo, ustedes q hacen, grabar videos, ya t quiero ver ahi	5
El contenido menciona entrenamiento de artes marciales con protección; requiere contexto, aunque no da instrucciones ni detalles gráficos.	2
El mensaje usa mensaje que normaliza la venganza violenta como forma de presión o miedo; no es adecuado para niños.	4
El mensaje presenta texto que amenaza con consecuencias violentas graves como algo aceptable o admirable; es altamente inadecuado para menores.	5
Mensaje de alto riesgo: comentario que usa intimidación para provocar miedo en una historia corta, con enfoque poco saludable.	4
El contenido presenta mensaje que trata los golpes como entretenimiento en una publicación de fans, lo cual puede ser inadecuado para menores.	3
Contenido de riesgo máximo: mensaje que presenta la crueldad como algo aceptable en un video de reacción, claramente no apto para menores.	5
Mensaje de alto riesgo: comentario que invita a responder a los problemas con violencia en un relato ficticio, presentado como algo normal.	4
Mensaje muy riesgoso: mensaje que trata la violencia extrema como espectáculo; evita detalles gráficos, pero glorifica daño grave.	5
El mensaje usa texto que presume participar en actos agresivos como forma de presión o miedo; no es adecuado para niños.	4
Mensaje muy riesgoso: texto que promueve miedo, control e intimidación como poder; evita detalles gráficos, pero glorifica daño grave.	5
Comentario de riesgo medio: pelea callejera mencionada de forma general sin detalles gráficos, con normalización de una conducta agresiva.	3
Mensaje con video de acción con golpes simulados y tono ficticio en un video de reacción, tratado como ficción o actividad controlada.	2
Mensaje con caída cómica sobre colchoneta sin consecuencias en una escena de acción, tratado como ficción o actividad controlada.	2
Texto con riesgo bajo-medio: escena de empujones en un juego físico supervisado, presentado sin daño explícito.	2
Texto con riesgo bajo-medio: pelea leve de caricatura sin heridas ni miedo intenso, presentado sin daño explícito.	2
Comentario no recomendado para menores: comentario que amenaza con hacer daño a otra persona sin dar instrucciones, con tono de amenaza o intimidación.	4
Contenido de riesgo máximo: mensaje que presenta la crueldad como algo aceptable en una escena de acción, claramente no apto para menores.	5
El mensaje incluye caída cómica sobre colchoneta sin consecuencias en una escena de acción; es acción leve y no gráfica.	2
Texto preocupante porque incluye mensaje que glorifica una pelea fuerte y humillante; no contiene instrucciones, pero sí normaliza violencia.	4
El mensaje presenta mensaje que presenta la crueldad como algo aceptable como algo aceptable o admirable; es altamente inadecuado para menores.	5
Comentario de riesgo medio: comentario que celebra una discusión que se vuelve física, con normalización de una conducta agresiva.	3
Texto con riesgo bajo-medio: entrenamiento de artes marciales con protección, presentado sin daño explícito.	2
Comentario de riesgo medio: video con intimidación y contacto violento descrito a alto nivel, con normalización de una conducta agresiva.	3
Comentario sin riesgo: habla de comentario sano sobre un reto sin peligro, sin violencia ni amenazas.	0
Mensaje con entrenamiento de artes marciales con protección en un fragmento de película, tratado como ficción o actividad controlada.	2
Contenido de riesgo alto: mensaje que glorifica una pelea fuerte y humillante en una historia corta, con glorificación de daño.	4
