Mensaje	Riesgo	Mensaje Riesgo
"[Sticker] y viene acompañado el comentario del profe ""bueno como nadie hace preguntas preguntaré yo"""	-5.0	
No, lo que deben hacer es designar a algún compañero para que les haga una pregunta fácil	-5.0	
a la profe hay que darle una caja de bombones para que no haga preguntas jsksj	-5.0	
[Sticker] La Profesora: la persona que haga preguntas se le da 2 puntos	-5.0	
[Sticker] Yo tenía una compañera que en sus exposiciones, ya traía sus preguntas. Y nos las daba para preguntarle y así el profesor no le preguntara.	-5.0	
"""como no hay preguntas yo les pregunto a ustedes 💀"""	-5.0	
[Sticker] Ni con eso me perdonaran.....	-5.0	
Por eso prefiero pasar primero, para que me hagan preguntas y luego tenerlos fichados así cuando pasan le preguntas a chatgpt preguntas complicadas sobre el tema y ya. Tal vez una vez te lo hacen pero de nuevo no.	-5.0	
PASENN PLANTILAAA	-5.0	
[Sticker] la maestra: como nadie pregunta, Juan explicame lo que expuso tu compañero. Juan:	-5.0	
En mi salón cada grupo mandaba las preguntas que querían que les hiciéramos por WhatsApp y así todos teníamos participación y ellos ya sabían que responder jajaja	-5.0	
[Sticker] yo recuerdo que la primera vez, una chica me hizo pura pregunta a mí, cosa que no era por informarse era por joder, entonces cuando le tocó le hice 15 preguntas de las más difíciles que pensé en ese momento, y ese semestre ningún grupo quiso preguntar a mis grupos	-5.0	
podrias pasar preguntas y tu te memorizarias las respuestas jeje	-5.0	
Cuando me tocaba exponer había en mi salón dos compañeros (hombre y mujer) que siempre tenían que preguntarme algo, no importa si era en equipo la exposición me elegían a mi para que yo fuera la que les contestara, le decían al maestro, pero quiero que ella me responda, pero no es que tuvieran realmente una duda, sino que uno de ellos una vez dió a entender que quería que fallara en alguna respuesta, y como si contestaba bien se enojaba, la otra compañera era igual, pero él era el que estaba más obsesionado en querer que fallara, incluso hacia más de una pregunta, ya todos sabían y se daban cuenta, porque siempre que el maestro al final de la exposición decía si había alguna duda, los volteaban a ver porque sabían que de ley me iban a preguntar algo. Creo que quería que me pusiera nerviosa al exponer pero nunca logró su cometido.	-5.0	
[Sticker] Luego uno sale a decir, NO SE ESCUCHA	-5.0	
Yo les decia que preguntas hacerme para que la profesora no me pregunte 🤣	-5.0	
Consejo de una universitaria jajaja tengan preguntas ya echas y pásenselas escritas a distintos compañeros y aprendanse la respuesta	-5.0	
PASEN PLANTILLAAA	-5.0	
[Sticker] y procede a preguntar la profesora:	-5.0	
hola oigan me pasan porfavor las plantillas??	-5.0	
[Sticker] Lo que hacía en aquellas épocas era darles las preguntas para que me las hagan así ya sabía la respuesta y me evitaba que la profe pregunte 💀🫡	-5.0	
lo malo es que si ellos no preguntan la profe comienza a hacer preguntas más difícil de lo que ellos harían	-5.0	
Nosotros pasábamos las preguntas al grupo para que mis compañeros las vieran y nos preguntaran esas 😁	-5.0	
JAJAJAJA sí fueron mis compañeros de la Uni😂😭	-5.0	
sobornooooo	-5.0	
pasa plantilla xfa	-5.0	
[Sticker] y si mejor ponían preguntas que ya sabian las respuestas o que habían estudiado para que el profe crea que estuvieron preparadisimos e investigaron bien el tema.	-5.0	
[Sticker] Ey que veo acá un tutorial	-5.0	
[Sticker] el que lo recibió y aun así hizo la pregunta:	-5.0	
[Sticker] Yo les daba las preguntas JSDGH,así ya sabia que responder xd	-5.0	
[Sticker] una vez nos tocaba eso, que se usarían las preguntas como participaciones, y cada equipo mando preguntas que podían hacerle, y así la mayoría de compañeros alcanzamos una participación, le dábamos chance a los demás los que ya habíamos participado 🔥	-5.0	
[Sticker] Ustedes ven un video yo veo un tutorial	-5.0	
usar el tiempo para estudiar la exposición 🤢 usar el tiempo para hacer los regalitos 🤑	-5.0	
[Sticker] el licen dice hagan preguntas o yo las hago	-5.0	
Ustedes ven un video yo veo un TUTURIAL 😅😆	-5.0	
Mejor pongan preguntas qur saben responder detras de los papelitos de regalo, asi se salvan de las preguntas del profe	-5.0	
[Sticker] mis compañeros viendo como le pregunto lo más fácil y les salvó la exposición (luego me traicionan en mi exposición preguntando cosas filósofas)	-5.0	
[Sticker] JAJAAJAJA YO HICE ESO PARA QUE ME VOTARAN COMO DELEGADA	-5.0	
[Sticker] después te pregunta la profe	-5.0	
Yo hacía dinámicas y les ponía preguntas para ver si pusieron atención. 😈 Y ya los que respondieran bien les daba algún dulce, lo padre de aquí es que me evitaba la parte de que hicieran preguntas. 🤗	-5.0	
En mi salón hay una sola regla, el que pregunte a algún equipo, se la devolverán el doble cuando le toque pasar a exponer, por eso nadie pregunta	-5.0	
una amiga lo hizo y como el profe vio que nadie corrigio su expo se saco mil excusas de la kola para ponerles 6 💔	-5.0	
[Sticker] En realidad es mejor darles preguntas para que respondas fácilmente, ya les das las preguntas y tu sabes la respuesta . Porque no todos los docentes te dejan tranquilo sin preguntas y él te va a a preguntar m	-5.0	
