Mensaje	Riesgo
Me gustó la parte de un concurso de equilibrio con espuma porque parece competencia sana, con reglas claras y buen humor.	-4
Buen contenido: video musical alegre; me pareció perfecto para ver en familia y lo recomendaría para niños.	-5
Buen contenido: video de dibujos animados; es claro, limpio y entretenido y muy buena opción para contenido seguro.	-5
Buen contenido: historia con moraleja; transmite una energía muy sana y excelente para un momento tranquilo.	-5
Este video de origami mantiene un ambiente sano; es ideal para pasar un buen rato y lo vería otra vez con mi familia.	-5
Se nota que el reto de colores es respetuoso; no contiene nada fuerte ni inapropiado y ideal para una tarde tranquila.	-5
La parte de una batalla de juguete con reglas y supervisión requiere más criterio, pero sigue siendo family friendly y no gráfica.	-1
El experimento casero seguro está muy bien logrado; se siente alegre y positivo y lo vería otra vez con mi familia.	-5
La parte de un entrenamiento de defensa con explicación segura requiere más criterio, pero sigue siendo family friendly y no gráfica.	-1
La escena de un entrenamiento de defensa con explicación segura puede parecer intensa, pero queda claro que es actuación, deporte o caricatura.	-1
Se nota que el video de origami es amigable; me gustó porque es tranquilo y educativo y se nota que está pensado con cuidado.	-5
Me gustó este video de baile infantil; deja una sensación muy positiva y buen contenido para todas las edades.	-5
El video usa un juego de roles con héroes imaginarios como recurso cómico, sin contenido fuerte ni preocupante.	-4
Se nota que el experimento casero seguro es tranquilo; transmite una energía muy sana y muy sano y agradable de ver.	-5
Me gustó este video de comedia familiar; está muy bien hecho y no tiene nada preocupante y muy sano y agradable de ver.	-5
El broma inocente está muy bien logrado; transmite una energía muy sana y ideal para una tarde tranquila.	-5
Muy buen reseña de juguetes; me gustó porque es tranquilo y educativo, con un mensaje apto para toda la familia.	-5
Se nota que el video de baile infantil es sano; es completamente amigable para niños y excelente para un momento tranquilo.	-5
El video musical alegre está muy bien logrado; no contiene nada fuerte ni inapropiado y me encantó el estilo amigable.	-5
Buen video con un concurso de bromas inocentes; todo se siente controlado, alegre y family friendly.	-4
La situación de una competencia de chistes entre amigos es amigable y deja claro que todo es juego.	-4
Me gustó este clip de mascotas tiernas; me pareció perfecto para ver en familia y excelente para un momento tranquilo.	-5
Buen contenido: video de magia sencilla; transmite una energía muy sana y buen contenido para todas las edades.	-5
Muy buen video de lectura infantil; es claro, limpio y entretenido, con un mensaje apto para toda la familia.	-5
Este video musical alegre es seguro; se siente alegre y positivo y lo vería otra vez con mi familia.	-5
Buen contenido: cuento corto animado; transmite una energía muy sana y muy sano y agradable de ver.	-5
El video muestra un reto de obstáculos blandos; se ve como juego familiar, sin agresividad real, y mantiene un tono divertido.	-4
El video muestra una discusión cómica que termina en amistad; se ve como juego familiar, sin agresividad real, y mantiene un tono divertido.	-4
Este video de magia sencilla mantiene un ambiente sano; promueve creatividad y buen ánimo y excelente para un momento tranquilo.	-5
Hay un video de acrobacias supervisadas, pero se mantiene en un entorno sano, con reglas claras y sin violencia realista.	-2
Muy buen video de baile infantil; es divertido sin ser pesado, con un mensaje apto para toda la familia.	-5
El actividad escolar divertida está muy bien logrado; promueve creatividad y buen ánimo y ideal para una tarde tranquila.	-5
Comentario positivo sobre el video de magia sencilla: me gustó porque es tranquilo y educativo y aporta algo positivo y sencillo.	-5
Este reto de colores mantiene un ambiente sano; es claro, limpio y entretenido y perfecto para un ambiente familiar.	-5
La escena de una competencia de chistes entre amigos parece una broma inocente entre amigos y se mantiene muy cuidada.	-4
Este video de cocina sencilla es ligero; es ideal para pasar un buen rato y aporta algo positivo y sencillo.	-5
Muy buen video de origami; es divertido sin ser pesado, con un mensaje apto para toda la familia.	-5
Este cuento corto animado mantiene un ambiente sano; me pareció perfecto para ver en familia y me encantó el estilo amigable.	-5
Este video funciona muy bien para niños porque es divertido sin ser pesado; me encantó el estilo amigable.	-5
El tono del actividad de plastilina es amigable, limpio y agradable; ideal para una tarde tranquila.	-5
El video usa un video de acrobacias supervisadas como ejemplo de actividad física sana y controlada.	-2
Hay una escena de robots chocando en animación infantil, pero el contenido evita detalles fuertes y mantiene un enfoque seguro.	-1
Este video tiene un reto de coordinación con movimiento rápido, pero se entiende como deporte o actividad controlada.	-2
Muy buen reseña de juguetes; deja una sensación muy positiva, con un mensaje apto para toda la familia.	-5
Este tutorial de manualidades es agradable; es divertido sin ser pesado y muy sano y agradable de ver.	-5
El experimento casero seguro está muy bien logrado; transmite una energía muy sana y buen contenido para todas las edades.	-5
El momento de una escena de choque ficticio con tono de caricatura tiene energía alta, aunque se mantiene ficticio, deportivo y apto.	-1
Este video funciona muy bien para niños porque usa un lenguaje amable y positivo; ideal para una tarde tranquila.	-5
Muy buen video de naturaleza; me pareció perfecto para ver en familia, con un mensaje apto para toda la familia.	-5
Este video de naturaleza mantiene un ambiente sano; muy bonito y apto para todos y lo recomendaría para niños.	-5
La parte de una batalla de almohadas muy suave es moderada y claramente de fantasía, con un ambiente positivo.	-3
Este broma inocente mantiene un ambiente sano; me pareció perfecto para ver en familia y buen contenido para todas las edades.	-5
El video convierte una aventura de héroes con golpes simulados en aventura familiar, con respeto y sin consecuencias graves.	-3
El momento de una práctica de artes marciales con contacto controlado tiene energía alta, aunque se mantiene ficticio, deportivo y apto.	-1
La escena de un duelo de piratas de juguete se presenta de forma caricaturesca, segura y fácil de entender para niños.	-3
Se nota que el video de arte y pintura es entretenido; se siente alegre y positivo y ideal para una tarde tranquila.	-5
Este video musical alegre es respetuoso; me pareció perfecto para ver en familia y muy buena opción para contenido seguro.	-5
Se nota que el video musical alegre es sano; tiene un mensaje muy amable y gran trabajo del creador.	-5
Este video funciona muy bien para niños porque es divertido sin ser pesado; se nota que está pensado con cuidado.	-5
Muy buen broma inocente; es claro, limpio y entretenido, con un mensaje apto para toda la familia.	-5
El video de comedia familiar está muy bien logrado; usa un lenguaje amable y positivo y perfecto para un ambiente familiar.	-5
La escena de una competencia de videojuegos infantiles parece una broma inocente entre amigos y se mantiene muy cuidada.	-4
Comentario positivo sobre el reseña de juguetes: es completamente amigable para niños y muy buena opción para contenido seguro.	-5
Me gustó la parte de un reto de obstáculos blandos porque parece competencia sana, con reglas claras y buen humor.	-4
Muy buen cuento corto animado; promueve creatividad y buen ánimo, con un mensaje apto para toda la familia.	-5
Buen contenido: video de arte y pintura; es claro, limpio y entretenido y me encantó el estilo amigable.	-5
Se nota que el video de cocina sencilla es claro; transmite una energía muy sana y lo recomendaría para niños.	-5
El cuento corto animado está muy bien logrado; transmite una energía muy sana y se nota que está pensado con cuidado.	-5
La escena de un reto de almohadas de juguete parece una broma inocente entre amigos y se mantiene muy cuidada.	-4
Este video funciona muy bien para niños porque se siente alegre y positivo; lo recomendaría para niños.	-5
Este rutina de ejercicio suave mantiene un ambiente sano; es claro, limpio y entretenido y buen contenido para todas las edades.	-5
La escena de una batalla de globos de agua en familia es muy suave y apta para niños, más como juego que como pelea.	-4
Muy buen video musical alegre; es completamente amigable para niños, con un mensaje apto para toda la familia.	-5
Se nota que el juego de mesa familiar es claro; me gustó porque es tranquilo y educativo y lo recomendaría para niños.	-5
Buen video con un desafío de risas entre primos; todo se siente controlado, alegre y family friendly.	-4
Me gustó este video musical alegre; me gustó porque es tranquilo y educativo y muy buena opción para contenido seguro.	-5
Comentario positivo sobre el historia con moraleja: transmite una energía muy sana y ideal para una tarde tranquila.	-5
Comentario positivo sobre el video de magia sencilla: me gustó porque es tranquilo y educativo y ideal para una tarde tranquila.	-5
Muy buen reto de colores; transmite una energía muy sana, con un mensaje apto para toda la familia.	-5
La parte de una batalla de juguete con reglas y supervisión es más movida, pero no muestra consecuencias reales ni detalles sensibles.	-1
El momento de un entrenamiento de boxeo con guantes y reglas es activo, pero se enfoca en disciplina, respeto y seguridad.	-2
Este video funciona muy bien para niños porque no contiene nada fuerte ni inapropiado; lo vería otra vez con mi familia.	-5
Este video funciona muy bien para niños porque promueve creatividad y buen ánimo; me encantó el estilo amigable.	-5
La escena de una escena de villano caricaturesco sin sustos fuertes puede incluir acción, pero evita cualquier contenido gráfico o cruel.	-3
El video de lectura infantil está muy bien logrado; se entiende fácil y es muy respetuoso y lo recomendaría para niños.	-5
El video muestra una discusión cómica que termina en amistad; se ve como juego familiar, sin agresividad real, y mantiene un tono divertido.	-4
El tono del actividad de plastilina es limpio, limpio y agradable; lo vería otra vez con mi familia.	-5
Me gustó este video educativo para niños; me gustó porque es tranquilo y educativo y ideal para una tarde tranquila.	-5
Muy buen video de arte y pintura; está muy bien hecho y no tiene nada preocupante, con un mensaje apto para toda la familia.	-5
Este video funciona muy bien para niños porque es completamente amigable para niños; muy buena opción para contenido seguro.	-5
El rutina de ejercicio suave está muy bien logrado; se siente alegre y positivo y lo recomendaría para niños.	-5
Este video funciona muy bien para niños porque me pareció perfecto para ver en familia; perfecto para un ambiente familiar.	-5
Este video funciona muy bien para niños porque transmite una energía muy sana; muy sano y agradable de ver.	-5
El video muestra un enfrentamiento de juguetes animados; es ficticio y family friendly, sin daño real y con tono divertido.	-3
La parte de un reto de obstáculos blandos es ligera, cómica y no muestra daño real.	-4
Muy buen tutorial de manualidades; usa un lenguaje amable y positivo, con un mensaje apto para toda la familia.	-5
Muy buen video de magia sencilla; muy bonito y apto para todos, con un mensaje apto para toda la familia.	-5
Este video funciona muy bien para niños porque transmite una energía muy sana; gran trabajo del creador.	-5
Este video educativo para niños mantiene un ambiente sano; se siente alegre y positivo y se nota que está pensado con cuidado.	-5
La escena de una clase de seguridad para evitar golpes está presentada con cuidado, como entrenamiento o juego supervisado.	-2
Muy buen experimento casero seguro; me pareció perfecto para ver en familia, con un mensaje apto para toda la familia.	-5
Este video incluye una simulación de combate como actividad deportiva; puede sentirse más fuerte, aunque sigue en contexto deportivo o ficticio.	-1
La parte de una carrera de obstáculos con tropiezos suaves tiene movimiento físico, aunque todo sucede en un ambiente cuidado.	-2
El reseña de juguetes está muy bien logrado; es completamente amigable para niños y lo vería otra vez con mi familia.	-5
Este juego de adivinanzas mantiene un ambiente sano; deja una sensación muy positiva y ideal para una tarde tranquila.	-5
Este broma inocente es bonito; es divertido sin ser pesado y lo vería otra vez con mi familia.	-5
Buen video con una batalla de globos de agua en familia; todo se siente controlado, alegre y family friendly.	-4
Este video educativo para niños es divertido; es claro, limpio y entretenido y ideal para una tarde tranquila.	-5
El broma inocente está muy bien logrado; es ideal para pasar un buen rato y buen contenido para todas las edades.	-5
El tono del juego de adivinanzas es limpio, limpio y agradable; lo recomendaría para niños.	-5
Muy buen video de comedia familiar; usa un lenguaje amable y positivo, con un mensaje apto para toda la familia.	-5
Aunque aparece un reto de almohadas de juguete, el mensaje es de amistad, respeto y diversión segura.	-4
Este rutina de ejercicio suave mantiene un ambiente sano; promueve creatividad y buen ánimo y aporta algo positivo y sencillo.	-5
