source_row	Mensaje	MensajeNormalizado	ProbabilidadRiesgo	RiesgoBinario	Riesgo
0	🔥👹💯🫡🫡		0.651844	1	3
1	las mayisitas sirven pero para subir videos domas jajajaja	el mayisita servir pero para subir video doma jajajajo	0.678734	1	3
1	Son los primeros que lloran	ser el primero que llorar	0.8228	1	4
1	las mayizitas sii	el mayizita sii	0.346983	0	2
1	las jaliscas fueron que comenzaron con los drones que hablas y de paso tienen colombianos experto en drones entonces no te quejes wey qué le están dando con la misma que ellos empezaron	el jalisca ser que comenzar con el drón que habla y de paso tener colombiano experto en drón entonces no tú quejser wey qué él estar dar con el mismo que él empezar	0.818057	1	4
1	Aquí hay con queso, no como las correlonas de las Jaliscas ✌	aquí haber con queso no como el correlona de el jalisca	0.686468	1	3
1	apoco si alucinado	apoco si alucinar	0.64339	1	3
1	traes puro sueño ijo vete a dormir mejor 😂	traes puro sueño ijo vetir a dormir mejor	0.747262	1	4
1	*hijo, correlonas deberían practicar atletismo ✌	hijo correlona deber practicar atletismo	0.539464	1	3
1	Acaba la escuela mejor bro jajajaja	acabar el escuela mejor bro jajajajo	0.558925	1	3
1	La Netflix	el netflix	0.346983	0	2
1	apoco te aceptaron el las 4L así?	apoco tú aceptar el el 4l así	0.539124	1	3
1	pura 4 LETRAS	puro 4 letra	0.893589	1	4
1	puras 4 🫡💀	pura 4	0.807687	1	4
1	Puras 4	pura 4	0.807687	1	4
1	aki en sinaloa apoyamos al señor de los gallos puro 4 letras asi nomas	aki en sinaloa  apoyar al señor de el gallo puro 4 letra asi noma	0.903776	1	5
1	Puras 4 papá ya sabes arriba don m	pura 4 papá ya saber arriba don m	0.766298	1	4
1	las mayizas son tiktokeras😂🤣	el mayiza ser tiktokera	0.719119	1	4
1	ARRIBA LAS 4 LETRAS	arriba el 4 letra	0.792266	1	4
1	Con drones, porque en el zacate no topan, las cabreras tampoco topan y a eso súmale que los flechas y las rugrats son puros corridos, ni los del changuito antrax hacen nada 🤣	con drón porque en el zacate no topar el cabrera tampoco topar y a ese súmalir que el flecha y el rugrats ser puro corrido ni el del changuito antrax hacer nada	0.813783	1	4
1	Son bien culones las 4 💀💀	ser bien culón el 4	0.549695	1	3
1	Arriba la familia Michoacána	arriba el familia michoacána	0.621818	1	3
1	esos no son jaliscos	ese no ser jalisco	0.824579	1	4
1	puro CDN la 4 letras corren	puro cdn el 4 letra correr	0.923342	1	5
1	Mejor ir a comer un poco, siempre es bueno tener un nuevo panorama de la vida	mejor ir a comer uno poco siempre ser bueno tener uno nuevo panorama de el vida	0.396411	0	2
